Olmo 7B Accuracy,Camembert Large[0] Accuracy,Camembert Large Accuracy,Flaubert Large Accuracy,Flaubert Large[0] Accuracy,Flaubert Base Accuracy,Mistral7B Accuracy,doc_name,date,auteur,titre,canon,gender,naissance,mort,genre,droit_auteur
0.0,0.03,0.04,0.0,0.0,0.0,0.04,1984_Daeninckx-Didier_Le-der-des-ders,1984,daeninckx didier,le der des ders,canon,male,1949,20--,policier,prive
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1904_Rolland-Romain_Jean-Christophe_Tome-II-Le-matin,1904,rolland romain,jean christophe,canon,male,1866,1944,cycles et séries,publique
0.0,0.16,0.46,0.05,0.0,0.0,0.09,1843_Woillez-Catherine_Leontine-et-Marie-ou-les-Deux-educations,1843,woillez catherine,leontine et marie ou les deux educations,non_canon,female,1781,1859,littérature jeunesse,publique
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1885_Boisgobey-Fortune-du_La-voilette-bleue,1885,boisgobey fortune du,la voilette bleue,non_canon,male,1821,1891,policier,publique
0.0,0.0,0.01,0.01,0.0,0.0,0.03,1887_Zola-Emile_La-terre,1887,zola emile,la terre,canon,male,1840,1902,cycles et séries,publique
0.0,0.0,0.01,0.0,0.0,0.0,0.0,1868_Gouraud-Julie_L-Enfant-du-guide,1868,gouraud julie,l enfant du guide,non_canon,female,1810,1891,littérature jeunesse,publique
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1904_Rolland-Romain_Jean-Christophe_Tome-III-L-adolescent,1904,rolland romain,jean christophe,canon,male,1866,1944,cycles et séries,publique
0.0,0.0,0.02,0.02,0.0,0.0,0.03,1850_Dumas-Alexandre_Le-Vicomte-de-Bragelonne,1850,dumas alexandre,le vicomte de bragelonne,canon,male,1802,1870,roman historique,publique
0.0,0.01,0.02,0.0,0.0,0.0,0.01,1878_Aimard-Gustave-Auriac-Jules-Berlioz-d_L-Aigle-Noir-des-Dacotahs,1878,aimard gustave auriac jules berlioz d,l aigle noir des dacotahs,non_canon,male,1818,1883,roman d'aventures,publique
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1890_Zola-Emile_La-bete-humaine,1890,zola emile,la bete humaine,canon,male,1840,1902,cycles et séries,publique
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1903_Vogue-Eugene-Melchior-de_Le-Maitre-de-la-mer,1903,vogue eugene melchior de,le maitre de la mer,non_canon,male,1848,1910,roman d'aventures,publique
0.0,0.05,0.26,0.06,0.01,0.0,0.07,1878_Gouraud-Julie_Cousine-Marie,1878,gouraud julie,cousine marie,non_canon,female,1810,1891,littérature jeunesse,publique
0.0,0.01,0.01,0.01,0.0,0.0,0.01,1928_Montorgueil-Georges_La-Vie-extraordinaire-de-Robert-Macaire,1928,montorgueil georges,la vie extraordinaire de robert macaire,non_canon,male,1857,1933,roman d'aventures,publique
0.0,0.0,0.02,0.0,0.0,0.0,0.0,1876_Chazel-Prosper_Le-Chalet-des-sapins,1876,chazel prosper,le chalet des sapins,non_canon,male,1845,1886,littérature jeunesse,publique
0.0,0.02,0.06,0.01,0.0,0.0,0.0,1925_Leroux-Gaston_Les-Tenebreuses_2,1925,leroux gaston,les tenebreuses,non_canon,male,1868,1927,policier,publique
0.0,0.0,0.01,0.0,0.0,0.0,0.02,1878_Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde,1878,berthet elie,les petits ecoliers dans les cinq parties du monde,non_canon,male,1815,1891,littérature jeunesse,publique
0.0,0.0,0.02,0.0,0.0,0.0,0.01,1910_Zevaco-Michel_La-Cour-des-miracles,1910,zevaco michel,la cour des miracles,non_canon,male,1860,1918,roman d'aventures,publique
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1934_Simenon-Georges_Maigret,1934,simenon georges,maigret,canon,male,1903,1989,policier,prive
0.0,0.01,0.01,0.0,0.0,0.0,0.0,1957_Boileau-Narcejac_Les-magiciennes,1957,boileau narcejac,les magiciennes,non_canon,male,1906,1989,policier,prive
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1856_Nerval-Gerard-de_Le-Marquis-de-Fayolle,1856,nerval gerard de,le marquis de fayolle,canon,male,1808,1855,roman d'aventures,publique
0.0,0.0,0.01,0.0,0.0,0.0,0.0,1970_Simenon-Georges_La-folle-de-Maigret,1970,simenon georges,la folle de maigret,canon,male,1903,1989,policier,prive
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1897_Ivoi-Paul-d-_Cousin-de-Lavarede-,1897,ivoi paul d ,cousin de lavarede ,non_canon,male,1856,1915,roman d'aventures,publique
